acc,std,method,num_shots,tasks,batch_size
28.3412,0.5036,TIPAdapter-F,4,5,
45.476,4.4456,TIPAdapter-F,4,5,
27.6343,0.9926,TIPAdapter-F,1,5,
34.7879,8.8729,TIPAdapter-F,1,5,
48.1621,5.5308,TIPAdapter-F,2,5,
48.737,5.7452,TIPAdapter-F,4,5,
61.7342,3.9795,TIPAdapter-F,8,5,256.0
50.4241,8.0788,COCOOP,8,5,32.0
39.7455,11.745,COCOOP,1,5,32.0
44.0811,10.1204,COCOOP,2,5,32.0
44.4015,12.2697,COCOOP,4,5,32.0
49.1612,6.7336,COCOOP,4,5,32.0
54.2224,3.1913,COCOOP,4,5,32.0
49.0763,5.3014,COCOOP,8,5,32.0
51.4797,7.1563,COCOOP,16,5,32.0
46.0409,2.7215,COOP,1,5
51.3884,4.2791,COOP,2,5
63.819,4.1414,COOP,4,5
71.6652,1.5841,COOP,8,5
76.3886,1.1577,COOP,16,5
0.3821,0.0549,LinearProbe,1,5,32.0
0.5396,0.043,LinearProbe,2,5,32.0
0.5492,0.0595,LinearProbe,4,5,32.0
0.6525,0.0191,LinearProbe,8,5,32.0
0.6964,0.016,LinearProbe,16,5,32.0
65.4948,2.1356,KGCOOP,16,5,32.0
56.8992,2.4167,KGCOOP,8,5,32.0
49.7078,5.0399,KGCOOP,4,5,32.0
50.1602,2.8221,KGCOOP,2,5,32.0
42.2337,5.3746,KGCOOP,1,5,32.0
42.3186,5.7875,LinearProbe_P2,1,10
48.2234,2.8429,LinearProbe_P2,2,10
53.6475,2.987,LinearProbe_P2,4,10
60.5231,2.6673,LinearProbe_P2,8,10
65.7587,1.9928,LinearProbe_P2,16,10
38.9727,11.5602,ClipAdapter,1,5
50.3016,3.1854,ClipAdapter,2,5
50.9802,6.2929,ClipAdapter,4,5
59.6418,2.9127,ClipAdapter,8,5
66.9557,1.1838,ClipAdapter,16,5
